;;;#of times;de;;;
;1373;0.68;4;344;4;;0.004
;1377;1;4;345;20;;0.02
;1381;0.8;4;346;20;;0.02
;1385;1;4;347;20;;0.02
;1389;1;4;348;20;;0.02
;1393;0.6;4;349;16.2;;0.0162
;1397;0.6;4;350;16.2;;0.0162
;1401;0.92;4;351;16.2;;0.0162
;1405;0.69;4;352;16.2;;0.0162
;1409;0.97;4;353;22;;0.022
;1413;0.5;4;354;22;;0.022
;1417;0.5;4;355;22;;0.022
;1421;0.45;4;356;22;;0.022
;1425;0.7;4;357;11.05;;0.01105
;1429;0.45;4;358;11.05;;0.01105
;1433;0.75;4;359;11.05;;0.01105
;1437;0.4;4;360;11.05;;0.01105
;1441;0.49;4;361;2.1;;0.0021
;1445;0.4;4;362;2.1;;0.0021
;1449;0.61;4;363;2.1;;0.0021
;1453;0.31;4;364;2.1;;0.0021
;1457;0.7;4;365;4.2;;0.0042
;1461;0.31;4;366;4.2;;0.0042
;1465;0.4;4;367;4.2;;0.0042
;1469;0.69;4;368;4.2;;0.0042
;1473;0.5;4;369;18;;0.018
;1477;0.55;4;370;18;;0.018
;1481;0.36;4;371;18;;0.018
;1485;0.5;4;372;18;;0.018
;1489;0.7;4;373;15;;0.015
;1493;0.9;4;374;15;;0.015
;1497;1;4;375;15;;0.015
;1501;2;4;376;15;;0.015
;1505;0.5;4;377;20;;0.02
;1509;1;4;378;20;;0.02
;1513;1.1;4;379;20;;0.02
;1517;3.5;4;380;20;;0.02
;1521;19;4;381;10;;0.01
;1525;17;4;382;10;;0.01
;1529;19;4;383;10;;0.01
;1533;6.4;4;384;10;;0.01
;1537;1;4;385;4;;0.004
;1541;4;4;386;4;;0.004
;1545;16;4;387;4;;0.004
;1549;14;4;388;4;;0.004
;1553;17;4;389;8;;0.008
;1557;9;4;390;8;;0.008
;1561;0.9;4;391;8;;0.008
;1565;5.9;4;392;8;;0.008
;1569;18;4;393;40;;0.04
;1573;11;4;394;40;;0.04
;1577;20.35;4;395;40;;0.04
;1581;12;4;396;40;;0.04
;1585;0.8;4;397;14;;0.014
;1589;5.9;4;398;14;;0.014
;1593;20;4;399;14;;0.014
;1597;11;4;400;14;;0.014
;1601;28;4;401;53.8;;0.0538
;1605;9.7;4;402;53.8;;0.0538
;1609;0.77;4;403;53.8;;0.0538
;1613;8;4;404;53.8;;0.0538
;1617;18;4;405;40;;0.04
;1621;10.5;4;406;40;;0.04
;1625;26.4;4;407;40;;0.04
;1629;8.5;4;408;40;;0.04
;1633;0.83;4;409;3;;0.003
;1637;3;4;410;3;;0.003
;1641;7.6;4;411;3;;0.003
;1645;4;4;412;3;;0.003
;1649;7;4;413;15;;0.015
;1653;3.5;4;414;15;;0.015
;1657;1.3;4;415;15;;0.015
;1661;2;4;416;15;;0.015
;1665;3.5;4;417;88;;0.088
;1669;2.5;4;418;88;;0.088
;1673;3.5;4;419;88;;0.088
;1677;1.8;4;420;88;;0.088
;1681;1.03;4;421;38;;0.038
;1685;4.5;4;422;38;;0.038
;1689;22;4;423;38;;0.038
;1693;9;4;424;38;;0.038
;1697;28;4;425;98;;0.098
;1701;6.5;4;426;98;;0.098
;1705;1.01;4;427;98;;0.098
;1709;4.9;4;428;98;;0.098
;1713;19;4;429;39;;0.039
;1717;8.6;4;430;39;;0.039
;1721;22;4;431;39;;0.039
;1725;9;4;432;39;;0.039
;1729;1.1;4;433;2;;0.002
;1733;4.12;4;434;2;;0.002
;1737;18.6;4;435;2;;0.002
;1741;8;4;436;2;;0.002
;1745;19.8;4;437;8;;0.008
;1749;6.5;4;438;8;;0.008
;1753;1;4;439;8;;0.008
;1757;4;4;440;8;;0.008
;1761;17.6;4;441;70.6;;0.0706
;1765;6.99;4;442;70.6;;0.0706
;1769;19.78;4;443;70.6;;0.0706
;1773;5.4;4;444;70.6;;0.0706
;1777;0.8;4;445;36;;0.036
;1781;3.59;4;446;36;;0.036
;1785;15.5;4;447;36;;0.036
;1789;6.7;4;448;36;;0.036
;1793;18;4;449;70;;0.07
;1797;4.9;4;450;70;;0.07
;1801;0.65;4;451;70;;0.07
;1805;2.4;4;452;70;;0.07
;1809;4;4;453;39;;0.039
;1813;4;4;454;39;;0.039
;1817;4;4;455;39;;0.039
;1821;2;4;456;39;;0.039
;1825;1;4;457;1.8;;0.0018
;1829;2;4;458;1.8;;0.0018
;1833;3;4;459;1.8;;0.0018
;1837;2.2;4;460;1.8;;0.0018
;1841;2.5;4;461;3;;0.003
;1845;1.4;4;462;3;;0.003
;1849;0.6;4;463;3;;0.003
;1853;1.9;4;464;3;;0.003
;1857;11.5;4;465;6;;0.006
;1861;3.5;4;466;6;;0.006
;1865;13;4;467;6;;0.006
;1869;2.9;4;468;6;;0.006
;1873;0.5;4;469;6;;0.006
;1877;1.5;4;470;6;;0.006
;1881;10.5;4;471;6;;0.006
;1885;3;4;472;6;;0.006
;1889;14;4;473;6.8;;0.0068
;1893;2.7;4;474;6.8;;0.0068
;1897;0.57;4;475;6.8;;0.0068
;1901;1;4;476;6.8;;0.0068
